Location,Date,Sentinel-2,X,Y,Longitude,Latitude,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,FDI,label
Accra,20181031,B,3760,491,0.10088077187538147,5.659882545471191,0.012483555,0.01846263,0.037167806,0.026200002000000003,0.07337907,0.08958396,0.10198582,0.114215866,0.09352718,0.009368575,0.009938266,0.6268227747593313,0.16717669846879624,4
Marmara Sea,20210606,B,1021,961,29.026891708374023,40.939735412597656,0.08592282,0.07996021,0.08625994599999999,0.06651588,0.101761326,0.089991935,0.10008705,0.06297744,0.084619604,0.011873092,0.008091413,-0.02732527052360696,0.11180469,6
Durban,20190424,B,748,568,31.08245277404785,-29.85169219970703,0.037319645,0.061752446,0.06261921,0.044589475,0.03693049,0.044638682,0.04285376,0.06502546,0.056771095999999986,0.028378526,0.01594482,0.18643431207617825,0.0492814914334673,2
Caribbean Sea,20171009,A,3453,1871,-86.33272552490234,15.911725044250488,0.030656513,0.049552582000000005,0.04140464,0.03729917,0.027072681,0.023358008,0.035702955,0.054820046,0.03747166,0.023389855,0.017385202,0.19019784102374468,0.03140559857949636,2
Gulf of Gera,20210830,A,47,42,26.52446365356445,39.03911590576172,0.01919128,0.046037164000000005,0.06393330000000001,0.084543265,0.05496098,0.06959795,0.0779281,0.12336946,0.08303757,0.022567788,0.013885129,0.1867427546822831,0.13711860986724264,3
Vigo,20160920,A,154,874,-8.898452758789062,42.18854141235352,0.020679636,0.024623564,0.024294218,0.014787259,0.010774695,0.010529841000000002,0.010336122,0.014520536,0.010127149,0.005217378,0.004386834,-0.00910075288843798,0.01340547,7
Okinawa,20211026,A,2826,822,127.87254333496094,26.75625228881836,0.04127504,0.03657814,0.040456396,0.0398723,0.06579222,0.066257365,0.062083546,0.042427145,0.05145355,0.034439005,0.019955937,0.03104328346321169,0.032558445,5
Vigo,20160920,A,119,199,-8.90259838104248,42.24933624267578,0.025569372000000003,0.03745935,0.0420511,0.030529428,0.02218738,0.021703668,0.023066474,0.031177297000000007,0.021432355,0.011604105,0.0061151986,0.01049916358387203,0.027372127000000003,7
Vigo,20160920,A,54,504,-8.910516738891602,42.22187423706055,0.044181753,0.0502961,0.037583534,0.036211498,0.07256575,0.066050306,0.072777174,0.04097631,0.06109631400000001,0.02366722,0.017101709,0.061730111574097385,0.05003753,7
Gulf of Gera,20210731,A,49,42,26.524694442749023,39.03911590576172,0.011332258999999999,0.026753977,0.04121639,0.044472143,0.027667224,0.034058943,0.046618897,0.07780619,0.04900378,0.022564777999999997,0.015939878,0.2726079607251434,0.06411726652375935,3
Vigo,20160920,A,30,519,-8.913426399230957,42.22052383422852,0.02630181,0.03705367,0.033562608,0.018640677,0.019161597,0.020313822,0.019784108,0.02272593,0.016559362,0.0113460915,0.008760233000000001,0.0987572657336871,0.018304767,7
Caribbean Sea,20161103,A,6165,3657,-86.42388916015625,15.949413299560547,0.021869073,0.023142027000000003,0.019900344,0.014098074,0.010191803,0.011026973,0.013208419,0.011426043,0.012762049,0.0135715185,0.0119363,-0.10468652059540397,-0.00411038688652407,1
Durban,20190424,B,756,545,31.08331871032715,-29.849628448486328,0.052827463,0.069066465,0.056229595,0.043942768,0.045164168,0.04870674,0.06289846,0.06438231,0.055923097000000005,0.035645176,0.023048265,0.1886870739202237,0.03888630357309075,2
Gulf of Gera,20210626,B,50,38,26.52480697631836,39.03947830200195,0.01791756,0.036198676,0.038940776,0.026376287999999998,0.029634545,0.050388385,0.046113065999999994,0.031402327,0.053493503,0.014727298,0.009604219,0.08698787605068074,0.044384606438332974,2
Vigo,20160920,A,57,469,-8.910148620605469,42.22502517700195,0.030074703,0.028415097,0.027440093,0.01958667,0.024549874,0.023136158,0.023054201,0.015641376000000002,0.02238692,0.012095783999999998,0.009319388,-0.11199298422626104,0.012071027,7
Gulf of Gera,20210721,A,49,36,26.52469062805176,39.03965759277344,0.02417716,0.05111615,0.058964998,0.050141696,0.01937083,0.037639547,0.028523976,0.05985109,0.027863765,0.0063376330000000005,0.005277615500000001,0.08827300728613241,0.07768495923432724,2
Gulf of Gera,20210706,B,49,37,26.52469062805176,39.03956985473633,0.023208238,0.07291711,0.07904159,0.06929055,0.047279842,0.041079547,0.05926558,0.06666735,0.043450344,0.015750734,0.010158514,-0.019294207986442904,0.07059775205859953,2
Caribbean Sea,20171009,A,3112,1643,-86.36451721191406,15.932432174682615,0.025306473,0.03872048,0.048694827,0.039435234,0.036476303,0.04328193,0.039330672,0.05678520400000001,0.042722918,0.030134132,0.020180356,0.18031481004066946,0.03680387060309768,2
Gulf of Gera,20210716,B,21,28,26.52145004272461,39.04036712646485,0.02465001,0.02902205,0.0312792,0.017780156999999998,0.01805564,0.020960041999999998,0.022571297,0.019315581999999998,0.02219758,0.02161752,0.02359653,0.041390872412597035,-0.002812815235879001,1
Accra,20181031,B,1454,636,0.4037955403327942,5.747044086456299,0.006942794,0.011956786,0.030362418,0.024228517,0.050854918,0.06573811,0.09107051,0.11707556,0.072359696,0.010164465,0.009220989,0.6570726405863009,0.15009323971863758,4
Gulf of Gera,20210805,B,47,42,26.52446365356445,39.03911590576172,0.0032301068,0.025520874,0.049439106,0.07712916,0.050866347,0.069913894,0.07353557,0.12541568,0.08750014,0.019737914,0.014897603999999997,0.2383991613906333,0.14466578684620268,3
Caribbean Sea,20171009,A,3583,1813,-86.32056427001953,15.916930198669435,0.033425692,0.0514604,0.05837155,0.070204005,0.027983697,0.039270397,0.03426238,0.080756254,0.04585466,0.025078,0.01510083,0.06990084059143009,0.06663769743198819,2
Accra,20181031,B,3763,492,0.10115080326795578,5.659790992736816,0.012038026,0.020094633,0.027785659,0.017612493,0.05776468,0.085484885,0.100995846,0.08362027,0.08119235,0.010485427,0.009831746,0.6520396662491568,0.13141134167442348,4
Okinawa,20211026,A,2662,974,127.85619354248048,26.74239921569824,0.034658972,0.030265603,0.02291217,0.024168195,0.025514591,0.030115467000000007,0.025428267,0.024714706,0.024338972,0.015022978,0.0119036,0.011180003412645242,0.021346226,5
Okinawa,20211026,A,3061,569,127.89595794677734,26.779277801513672,0.04072431,0.06785838,0.066956006,0.07968195,0.07106319999999999,0.073355556,0.06161395,0.07104695,0.06297747,0.033921245,0.018742256,-0.057288283799589876,0.06757709,5
Caribbean Sea,20171009,A,3254,1744,-86.35128021240234,15.923262596130373,0.030487413,0.043713965,0.043589547,0.049914874000000005,0.023499804,0.030904058,0.030694611,0.06142307,0.031826135,0.026095403,0.020287627,0.10336274936063124,0.0390409356223791,2
Accra,20181031,B,1632,478,0.4199288785457611,5.761215686798098,0.00815308,0.016921138,0.031238377,0.0268071,0.043797616,0.05961423,0.06333987,0.11593747,0.067596585,0.014238202,0.012633664,0.6244046270901933,0.1369576032748043,4
Caribbean Sea,20171009,A,3468,1861,-86.3313217163086,15.912625312805176,0.03015964,0.053909887,0.07162316,0.077476196,0.04742901,0.05550779,0.059881534000000014,0.09461747,0.06857592,0.03524386,0.0224687,0.09960432826156426,0.07502152307238434,2
Gulf of Gera,20210621,A,49,37,26.52469062805176,39.03956985473633,0.03190913,0.11161958,0.11492836,0.10607701,0.053536948,0.06368395,0.04242883,0.087096736,0.052930024000000006,0.015851993,0.011698931999999999,-0.09825493574059492,0.10818083117332206,2
Okinawa,20211026,A,3217,548,127.91162872314452,26.781293869018555,0.031695355,0.03805043,0.03210587,0.025977269,0.022572406,0.024063371,0.019555056,0.02828744,0.01947499,0.013996001,0.012268663,0.04257225446468348,0.022065515,5
Caribbean Sea,20161103,A,6177,3657,-86.42276763916016,15.949410438537598,0.022094099,0.020992175,0.018966904,0.011482343999999998,0.009712579,0.009984465,0.012540183,0.009809175,0.014621557,0.014140157,0.0121820485,-0.07858382485533319,-0.0075400291676324905,1
Marmara Sea,20210606,B,1371,884,29.068660736083984,40.94592666625977,0.10434838,0.108177885,0.12245699,0.10481844,0.087863386,0.09987395,0.10662234,0.10172911,0.08667879,0.015602149,0.008648663000000001,-0.014956991743547678,0.15160829999999995,6
Okinawa,20211026,A,2791,845,127.86904907226562,26.75414848327637,0.034983132,0.044087015,0.034922637,0.02781632,0.021722399,0.022179738,0.02147671,0.033548236,0.019282883,0.014937649,0.013863342,0.09340760161289204,0.024202967,5
Caribbean Sea,20171009,A,3469,1863,-86.33123016357422,15.91244411468506,0.029876044,0.044370636,0.04273845,0.04289306,0.022131562,0.03710607,0.035142075,0.06042044200000001,0.04344154,0.024816772,0.014127172,0.16965238483543044,0.04509353039848277,2
Accra,20181031,B,3772,452,0.10198163241147996,5.663399696350098,0.012030812,0.019895833,0.03900276,0.030146545,0.056931555,0.059144594,0.07272517,0.12680270000000002,0.066431046,0.00837871,0.009055869,0.6158433893708759,0.1578703813543474,4
Caribbean Sea,20171009,A,3629,1806,-86.31626892089844,15.917550086975098,0.034310948,0.046521693,0.034704328,0.028854227000000007,0.018592568,0.018147638,0.02495304,0.035442572,0.024929466,0.015562281,0.013350284,0.10246769827530593,0.02187671724096512,2
Caribbean Sea,20171009,A,3362,1873,-86.34123229980469,15.91157054901123,0.036373027,0.053756174,0.05106234,0.03946068,0.033603776,0.034469206,0.04072272,0.0527039,0.041399576,0.031868602999999995,0.023584966,0.14369099278703382,0.02284349628216205,2
Gulf of Gera,20210611,A,79,32,26.528154373168945,39.04003143310547,0.020962622,0.031046659,0.04425882,0.019601025,0.01502813,0.016157944,0.009423187,0.020158209,0.02013933,0.030318937999999997,0.02647897,0.014013952079660255,-0.021095922870614247,1
Okinawa,20211026,A,3085,616,127.8984146118164,26.77505302429199,0.058752064000000014,0.06800876,0.07225946,0.08776908,0.12919332,0.13092494,0.12477872,0.07675697,0.11961831,0.06895022,0.039655104,-0.06693231862066831,0.05566395,5
Vigo,20160920,A,127,203,-8.901629447937012,42.24897384643555,0.024735618,0.028665673,0.026636908,0.019633092,0.022182938,0.021475837,0.023170996,0.019696046,0.02047968,0.012664306,0.0076706205,0.0016006961556086976,0.0138360495,7
Gulf of Gera,20210721,A,49,38,26.52469253540039,39.03947830200195,0.02417716,0.06367534400000001,0.07864579,0.069573045,0.044138152,0.053852748,0.05131156,0.07248411,0.058216363,0.013332378999999998,0.006419110600000001,0.020492209632101983,0.09044177255526288,2
Marmara Sea,20210606,B,1185,749,29.04695129394531,40.958473205566406,0.04980315,0.041004788,0.033911735,0.01514289,0.017275536,0.016490597,0.016838612,0.01257657,0.016219871,0.005701922,0.004914447,-0.09258189012340068,0.015257725,6
Okinawa,20211026,A,2626,936,127.8525390625,26.74580001831055,0.03754042,0.036169093,0.03216626,0.034961026,0.034273878,0.034734264,0.035509426000000004,0.033486955,0.029559702,0.021272128,0.014526113,-0.021535638867127442,0.022610359,5
Caribbean Sea,20161103,A,6176,3659,-86.42286682128906,15.949230194091795,0.022100477,0.022840267,0.021552982,0.015623483,0.012298017,0.013674925,0.016780536999999998,0.010735338999999998,0.01733985,0.015872838,0.014008605,-0.18544622365900884,-0.006834738951216944,1
Caribbean Sea,20171009,A,3568,1814,-86.32196807861328,15.916844367980955,0.03261408,0.042837378,0.047017887,0.03223842,0.018836072,0.02547906,0.024450706000000003,0.04205435,0.024842907,0.019432357,0.015338416,0.1321249698994936,0.02729128878411126,2
Marmara Sea,20210606,B,1168,824,29.04472541809082,40.951759338378906,0.049736634,0.09508252,0.09788885,0.08051683,0.08238117,0.08401226,0.07873064,0.07566623,0.07669085,0.015275544,0.007926898,-0.031057145377994238,0.113800876,6
Caribbean Sea,20161103,A,6172,3659,-86.4232406616211,15.949231147766113,0.022119988,0.02430183,0.018334124,0.0116067305,0.008306288,0.009524817,0.011869318,0.011081113500000002,0.01265774,0.012499817,0.011259433,-0.023167340184461732,-0.003716014110051624,1
Caribbean Sea,20161103,A,6181,3658,-86.42240142822266,15.949319839477539,0.023068532000000003,0.023216551,0.019990979,0.013134291,0.0113547025,0.012866541,0.014884807,0.011433616,0.015712714,0.014365139,0.012987444,-0.0692234385289719,-0.0040887482388578655,1
Accra,20181031,B,3843,429,0.10839495062828064,5.665442943572997,0.01269176,0.017286872,0.029383916,0.021250373,0.046855442,0.05888468,0.05607888,0.09630803,0.06157063,0.007997747,0.009387856,0.6384712201304742,0.12785073252591495,4
Okinawa,20211026,A,2577,901,127.84757995605469,26.748918533325195,0.035311967,0.041295234,0.04532824,0.04840598,0.038982484,0.03753969,0.040968705,0.04865249,0.046370193,0.022642886,0.015193501000000003,0.0025398092510627705,0.03751299,5
Caribbean Sea,20171009,A,3120,1650,-86.36377716064453,15.93179702758789,0.025121054,0.034616742,0.033124257000000004,0.035311874,0.014063655,0.015675353,0.025239162,0.047029223,0.023891902000000003,0.019116487,0.01491258,0.1423025612592944,0.025255474269307767,2
Vigo,20160920,A,100,848,-8.904989242553711,42.19088745117188,0.024477025,0.049992856,0.044600535,0.03876266,0.018021487,0.019212283,0.025462618,0.04175235,0.020846216,0.012350698,0.007062714499999998,0.03713208257690092,0.034700204,7
Accra,20181031,B,1633,479,0.4200184941291809,5.761125087738037,0.008148126,0.016635858,0.0380671,0.029668551,0.09299796,0.12818547,0.15177627,0.15524074,0.123794064,0.013573536,0.011934991,0.6791015655346384,0.2307236105119526,4
Okinawa,20211026,A,2788,442,127.8683853149414,26.79052543640137,0.03433433,0.03128864,0.030957436,0.03067628,0.028618876,0.02894399,0.026134336,0.025113788,0.026497124,0.015115895,0.013419712,-0.09970398315341723,0.020676019,5
Caribbean Sea,20161103,A,6169,3657,-86.42351531982422,15.94941234588623,0.022133114,0.020363718,0.017695075,0.011728477,0.011011019,0.012524385,0.014324896,0.009805618,0.01483252,0.0140142795,0.013428061000000002,-0.08929369913153996,-0.005359165850489938,1
